year,stage,home_team,away_team,ft_home_goals,ft_away_goals,ht_home_goals,ht_away_goals,ft_total_goals,ht_total_goals,which_half_more_goals,both_teams_to_score
1986,Group,Bulgaria,Italy,1,1,0,1,2,1,same,yes
1986,Group,Canada,France,0,1,0,0,1,0,second,no
1986,Group,Spain,Brazil,0,1,0,0,1,0,second,no
1986,Group,Soviet Union,Hungary,6,0,3,0,6,3,same,no
1986,Group,Argentina,Korea Republic,3,1,2,0,4,2,same,yes
1986,Group,Morocco,Poland,0,0,0,0,0,0,same,no
1986,Group,Algeria,Northern Ireland,1,1,0,1,2,1,same,yes
1986,Group,Belgium,Mexico,1,2,1,2,3,3,first,yes
1986,Group,Portugal,England,1,0,0,0,1,0,second,no
1986,Group,Paraguay,Iraq,1,0,1,0,1,1,first,no
1986,Group,Scotland,Denmark,0,1,0,0,1,0,second,no
1986,Group,Uruguay,Germany FR,1,1,1,0,2,1,same,yes
1986,Group,Italy,Argentina,1,1,1,1,2,2,first,yes
1986,Group,France,Soviet Union,1,1,0,0,2,0,second,yes
1986,Group,Korea Republic,Bulgaria,1,1,0,1,2,1,same,yes
1986,Group,Hungary,Canada,2,0,1,0,2,1,same,no
1986,Group,Brazil,Algeria,1,0,0,0,1,0,second,no
1986,Group,England,Morocco,0,0,0,0,0,0,same,no
1986,Group,Northern Ireland,Spain,1,2,0,2,3,2,first,yes
1986,Group,Mexico,Paraguay,1,1,1,0,2,1,same,yes
1986,Group,Poland,Portugal,1,0,0,0,1,0,second,no
1986,Group,Iraq,Belgium,1,2,0,2,3,2,first,yes
1986,Group,Denmark,Uruguay,6,1,2,1,7,3,second,yes
1986,Group,Germany FR,Scotland,2,1,1,1,3,2,first,yes
1986,Group,Hungary,France,0,3,0,1,3,1,second,no
1986,Group,Soviet Union,Canada,2,0,0,0,2,0,second,no
1986,Group,Korea Republic,Italy,2,3,0,1,5,1,second,yes
1986,Group,Argentina,Bulgaria,2,0,1,0,2,1,same,no
1986,Group,Paraguay,Belgium,2,2,0,1,4,1,second,yes
1986,Group,Iraq,Mexico,0,1,0,0,1,0,second,no
1986,Group,Portugal,Morocco,1,3,0,2,4,2,same,yes
1986,Group,England,Poland,3,0,3,0,3,3,first,no
1986,Group,Northern Ireland,Brazil,0,3,0,2,3,2,first,no
1986,Group,Algeria,Spain,0,3,0,1,3,1,second,no
1986,Group,Scotland,Uruguay,0,0,0,0,0,0,same,no
1986,Group,Denmark,Germany FR,2,0,1,0,2,1,same,no
1986,Round of 16,Soviet Union,Belgium,3,4,0,0,7,0,second,yes
1986,Round of 16,Mexico,Bulgaria,2,0,1,0,2,1,same,no
1986,Round of 16,Argentina,Uruguay,1,0,1,0,1,1,first,no
1986,Round of 16,Brazil,Poland,4,0,1,0,4,1,second,no
1986,Round of 16,Italy,France,0,2,0,1,2,1,same,no
1986,Round of 16,Morocco,Germany FR,0,1,0,0,1,0,second,no
1986,Round of 16,England,Paraguay,3,0,1,0,3,1,second,no
1986,Round of 16,Denmark,Spain,1,5,1,1,6,2,second,yes
1986,Quarter-finals,Brazil,France,1,1,0,0,2,0,second,yes
1986,Quarter-finals,Germany FR,Mexico,0,0,0,0,0,0,same,no
1986,Quarter-finals,Spain,Belgium,1,1,0,0,2,0,second,yes
1986,Quarter-finals,Argentina,England,2,1,0,0,3,0,second,yes
1986,Semi-finals,France,Germany FR,0,2,0,1,2,1,same,no
1986,Semi-finals,Argentina,Belgium,2,0,0,0,2,0,second,no
1986,Third Place Play-off,France,Belgium,4,2,0,0,6,0,second,yes
1986,Final,Argentina,Germany FR,3,2,1,0,5,1,second,yes
1990,Group,Argentina,Cameroon,0,1,0,0,1,0,second,no
1990,Group,Soviet Union,Romania,0,2,0,1,2,1,same,no
1990,Group,"rn"">United Arab Emirates",Colombia,0,2,0,0,2,0,second,no
1990,Group,Italy,Austria,1,0,0,0,1,0,second,no
1990,Group,USA,Czechoslovakia,1,5,0,2,6,2,second,yes
